Image,Width,Height,Sigma,Tmin,Tmax,Host_Time_ms,Device_Time_ms,Speedup
house.pgm,512,512,0.5,20,80,29.822048,1.413504,21.09
house.pgm,512,512,0.5,20,90,29.762432,1.419488,20.96
house.pgm,512,512,0.5,20,100,29.348415,1.411488,20.79
house.pgm,512,512,0.5,20,110,31.111008,1.430208,21.75
house.pgm,512,512,0.5,20,120,29.596416,1.421216,20.82
house.pgm,512,512,0.5,20,130,30.873217,1.444032,21.37
house.pgm,512,512,0.5,30,80,30.006016,1.411808,21.25
house.pgm,512,512,0.5,30,90,37.449921,1.430880,26.17
house.pgm,512,512,0.5,30,100,31.057119,1.424640,21.79
house.pgm,512,512,0.5,30,110,37.369633,1.450080,25.77
house.pgm,512,512,0.5,30,120,30.903904,1.436096,21.51
house.pgm,512,512,0.5,30,130,30.986273,1.441888,21.49
house.pgm,512,512,0.5,40,80,31.106880,1.424256,21.84
house.pgm,512,512,0.5,40,90,31.344320,1.452576,21.57
house.pgm,512,512,0.5,40,100,29.613504,1.438400,20.58
house.pgm,512,512,0.5,40,110,31.201281,1.442272,21.63
house.pgm,512,512,0.5,40,120,31.897633,1.433632,22.24
house.pgm,512,512,0.5,40,130,30.606785,1.461088,20.94
house.pgm,512,512,0.5,50,80,30.946304,1.448736,21.36
house.pgm,512,512,0.5,50,90,30.940895,1.448192,21.36
house.pgm,512,512,0.5,50,100,30.974079,1.469440,21.07
house.pgm,512,512,0.5,50,110,31.019232,1.436224,21.59
house.pgm,512,512,0.5,50,120,30.834816,1.458720,21.13
house.pgm,512,512,0.5,50,130,37.694016,1.459104,25.83
house.pgm,512,512,0.5,60,80,29.691551,1.449536,20.48
house.pgm,512,512,0.5,60,90,30.832001,1.444128,21.34
house.pgm,512,512,0.5,60,100,30.344831,1.420704,21.35
house.pgm,512,512,0.5,60,110,30.103745,1.421088,21.18
house.pgm,512,512,0.5,60,120,34.712833,1.521088,22.82
house.pgm,512,512,0.5,60,130,36.831169,1.455872,25.29
house.pgm,512,512,0.5,70,80,29.588768,1.430432,20.68
house.pgm,512,512,0.5,70,90,30.835009,1.442336,21.37
house.pgm,512,512,0.5,70,100,29.681248,1.431072,20.74
house.pgm,512,512,0.5,70,110,29.873024,1.405888,21.24
house.pgm,512,512,0.5,70,120,31.331360,1.439872,21.75
house.pgm,512,512,0.5,70,130,29.812897,1.451040,20.54
house.pgm,512,512,0.75,20,80,29.737152,1.438368,20.67
house.pgm,512,512,0.75,20,90,29.935871,1.453920,20.58
house.pgm,512,512,0.75,20,100,31.076897,1.444672,21.51
house.pgm,512,512,0.75,20,110,29.950399,1.424288,21.02
house.pgm,512,512,0.75,20,120,30.852833,1.449536,21.28
house.pgm,512,512,0.75,20,130,30.449921,1.468032,20.74
house.pgm,512,512,0.75,30,80,29.596319,1.431488,20.67
house.pgm,512,512,0.75,30,90,30.951008,1.418976,21.81
house.pgm,512,512,0.75,30,100,30.662336,1.460992,20.98
house.pgm,512,512,0.75,30,110,37.055679,1.437920,25.77
house.pgm,512,512,0.75,30,120,29.716000,1.419424,20.93
house.pgm,512,512,0.75,30,130,31.184193,1.457152,21.40
house.pgm,512,512,0.75,40,80,31.094561,1.438304,21.61
house.pgm,512,512,0.75,40,90,29.954784,1.442400,20.76
house.pgm,512,512,0.75,40,100,29.446112,1.395680,21.09
house.pgm,512,512,0.75,40,110,30.077408,1.420608,21.17
house.pgm,512,512,0.75,40,120,35.398144,1.475040,23.99
house.pgm,512,512,0.75,40,130,31.066113,1.472288,21.10
house.pgm,512,512,0.75,50,80,31.180063,1.471136,21.19
house.pgm,512,512,0.75,50,90,37.826366,1.433920,26.37
house.pgm,512,512,0.75,50,100,30.182240,1.436416,21.01
house.pgm,512,512,0.75,50,110,31.142080,1.437504,21.66
house.pgm,512,512,0.75,50,120,30.300352,1.440192,21.03
house.pgm,512,512,0.75,50,130,37.166912,1.463296,25.39
house.pgm,512,512,0.75,60,80,29.890272,1.417120,21.09
house.pgm,512,512,0.75,60,90,29.686497,1.421728,20.88
